id,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34,X35,X36,X37,X38,X39,X40,C,Z1,Z2,Z3,units
1,1.169545927,1.769703961,2.434063155,2.599149897,2.963699923,3.331555543,3.589823322,4.47244939,5.047724595,6.026099625,6.143713626,6.97639526,7.210159154,7.604081896,7.893570137,8.867721542,9.291799744,9.897899437,11.18888008,11.36885723,13.71483542,13.87651308,14.9555317,14.96371633,15.26196733,17.82797272,18.37194063,19.06074743,19.90326296,20.61943167,20.90239846,22.37215083,23.1493307,23.86809098,25.8047445,25.88153817,26.57427029,26.60465435,26.71727848,26.90411667,3.807302489,0,0.617631495,-0.810703398,1
2,0.208030509,0.715501671,1.936499982,2.044635743,2.730511497,3.114073431,3.594432203,3.880678301,3.897602134,3.975917982,4.159631685,4.508657764,4.723716511,5.999766351,6.244174082,6.721613274,7.838815966,9.578185354,10.10162028,10.23593485,10.47122491,10.66577559,10.94056812,11.3915599,12.91752396,13.53601702,14.44761491,14.6368297,14.84540227,15.0519829,15.34020386,16.09271021,16.2461171,16.25242519,16.61717564,16.70651258,17.3606545,17.55044903,17.64139918,17.73366643,1.247485903,0,0.557017114,0.804334412,1
3,0.032642523,0.49990237,1.937727947,1.947575144,1.974413466,1.976124772,2.722132194,2.754652324,4.368417597,5.218801311,5.352418576,7.072473846,7.501993945,7.755907643,8.241328778,8.686274706,8.859718543,9.955438714,9.984066765,10.44345224,10.54636468,10.85905144,11.62838742,11.65316907,12.82651055,13.99294422,15.43278136,15.52634808,15.74609162,15.82268296,16.97223941,17.69959472,17.93764265,18.0629993,18.25414896,18.40414367,18.48322557,18.51400255,19.18583306,20.91156618,1.799207526,1,0.787122559,-1.142757442,1
4,0.157931414,0.459821333,0.755163196,1.397479367,1.743123795,1.83935879,2.533117504,3.227346999,3.643500988,4.190852929,4.684378862,4.837348622,5.310618909,5.448380809,5.590626384,5.796545318,6.199962142,6.401758822,6.955905835,7.070176277,7.153533442,7.453067434,7.470154377,7.676565004,7.683126166,8.234949703,8.322953139,8.435123834,8.605402985,8.672477258,8.916009878,9.321044022,9.337446799,9.378085434,9.483820439,9.551741785,9.631732285,9.802783711,9.903181479,10.1312333,3.765931431,1,0.649872152,-0.007653246,1
5,1.55926639,1.722013159,1.936270497,2.060715832,2.651306282,2.832972242,3.226768422,4.30658307,4.361993115,4.364982177,4.473242883,5.186585656,5.413785252,7.455671064,8.32771951,8.339816278,9.376660469,9.47971858,10.74836327,12.72513204,14.24483072,14.34233932,16.11792733,16.26640423,16.5692385,17.52621402,17.84609315,18.30452905,19.79513353,19.85713344,19.97993709,21.4776613,21.907411,22.06089708,22.46996928,22.70176324,23.01497856,23.13511618,23.23806896,23.56154718,2.636712676,0,0.942518122,-0.553061342,1
6,0.937317423,5.234674139,6.123030591,7.317259394,8.298882012,9.154989292,13.11569405,13.71014301,14.4033918,16.19596954,16.93816929,21.97657977,22.32966395,23.32388116,25.05013181,25.86467965,28.29363734,28.6716231,29.78333941,30.08105626,31.6013636,32.14247288,34.86030424,37.41571077,38.67978976,39.41739723,41.52641174,44.4010613,48.70623961,49.44341992,52.97499859,53.71476997,54.07011511,57.81676897,60.61802897,63.99366908,66.34360822,67.62645014,76.52962099,77.4869862,2.321558597,0,0.539184953,-2.400104272,1
7,0.046438883,3.140901623,3.708327954,4.077890653,4.118293891,4.559387243,5.042307865,5.696713531,5.883244237,5.971280672,6.004552207,6.392447247,7.024782553,7.376849315,7.989160167,8.263144561,8.504693717,8.506715153,8.509818515,9.324538697,9.728936636,9.825246266,11.10726494,11.82655263,13.08892466,13.23957643,13.64392868,13.69923364,14.33167603,15.56696823,16.44593691,16.61199706,16.63474027,17.25211178,17.93220523,19.0965042,19.36846255,19.47711824,19.70801916,19.87064436,1.635252359,1,0.410051446,-0.557513804,1
8,0.199260561,1.070283239,1.476484251,1.558156369,1.959602423,1.98725708,2.135032597,2.611448576,2.653684257,4.04507385,5.405007095,5.797010162,5.883825791,6.762130716,6.830760303,7.452307632,7.581183135,8.063689422,8.685453259,9.010032421,9.420871041,9.893224489,10.51793414,10.59562728,10.63772068,11.23719313,11.39019122,11.96764923,12.08826341,12.4156831,12.86284212,13.93217291,14.1617282,14.77646727,15.03964746,15.41563951,15.43434383,17.19579976,17.48847493,17.5040248,3.141908478,0,0.970278584,-0.276150238,1
9,0.045853946,0.143451848,0.833248979,0.901665778,1.136703092,1.434192423,2.429232267,2.720889992,2.808872106,2.847851383,2.902183436,3.383237807,3.557668347,4.729021943,5.150178584,5.695008842,5.951652812,6.228149916,6.417785897,6.497002048,6.999720795,9.018870411,9.374392281,9.891869324,10.10200118,10.26431942,10.34777392,10.58274281,10.72831466,11.05612324,11.3954608,11.59891838,11.60675815,11.97039524,12.22110359,12.8713564,13.50600279,13.94060082,15.01934078,15.78897013,2.283221329,1,0.049897071,0.341480648,1
10,0.157966485,0.441693952,0.476644569,0.714237346,0.853540748,1.147418744,1.701910067,2.063980927,2.186664488,2.37012455,2.427060676,2.894454417,3.028072968,3.051484484,3.42637323,3.763813716,4.37546316,4.537835024,4.808851505,5.086891617,5.540303636,5.553355341,6.207783462,6.221646257,6.299720193,6.562434956,6.613886611,6.681758065,7.229781777,7.525351172,7.675846871,7.767829533,7.783152693,8.006433573,8.411701346,8.556127527,8.583733778,8.848621149,9.211925785,9.325965007,1.767994148,1,0.9461937,0.152724919,1
