id,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34,X35,X36,X37,X38,X39,X40,C,Z1,Z2,Z3,Long,Lat
1,1.128259076,1.300293496,1.328872714,2.24782928,2.387143741,2.454345619,2.776823969,2.857393678,3.354148107,4.008522026,4.021498793,4.551140749,4.909671079,4.930919228,5.085487141,5.194188472,5.716741987,5.824355059,6.255415722,6.336675538,6.344280789,7.185051356,7.802500261,7.9874855,8.029873493,8.043780007,8.29409285,8.571909715,9.005489134,9.09948302,9.401148605,9.578243001,9.68828358,10.74908816,11.65514731,12.08330212,12.33544617,12.56614224,12.6825653,13.13028718,3.492552931,1,0.145462267,-1.123702887,81.61666667,34.66666667
2,0.37402598,0.65513113,0.996767659,1.251228561,1.651157657,1.735809727,1.842768415,1.904516534,2.370618278,2.989981908,3.00941227,3.363004035,3.750965174,3.835578842,3.886969176,3.920744241,4.135442287,4.592346927,4.805837135,5.337016543,6.234153463,6.467432138,6.488723104,7.395672519,7.602919049,7.757244667,7.823302888,7.84544812,7.917942754,8.439052065,8.500830844,8.694837244,9.322658877,9.621641439,9.736223126,10.71394007,10.99713754,11.14090884,11.25675407,11.33417593,1.575819727,1,0.246888066,0.023568373,81.61666667,34.66666667
3,0.395094861,0.662391955,0.78570255,0.801241038,0.886915292,1.310786412,1.567687846,1.983261289,2.509131128,2.544446774,2.71123455,3.191620439,3.254558651,4.26673924,4.9758976,6.013154339,6.513416506,6.710164138,6.759676586,6.795200823,7.249739162,7.863846349,8.272402835,8.578584544,8.793330391,9.671161765,10.44880116,10.63357855,10.77416711,10.8826689,11.3145924,11.75734766,11.89764036,12.25690892,12.43009094,12.52130738,12.93151799,13.01506957,13.17216344,13.26631519,2.440527345,1,0.021291293,-0.346226357,81.61666667,34.66666667
4,0.439354962,1.028710832,1.320760068,1.66426483,1.949485448,2.127968063,2.5246179,2.65777332,3.427893685,3.587904196,3.761791803,4.390188296,4.433530932,4.793051897,5.012829812,5.336806436,5.407089683,5.549064987,5.756212659,6.055527793,6.083501188,6.275518218,6.395517008,6.59566695,7.284251198,7.57532316,8.001377478,8.270014058,9.207929782,9.296004821,9.379472006,9.464741115,9.850047719,9.995384738,10.07993826,10.38709494,10.43002804,10.55929195,10.66473067,11.69528192,3.524808966,0,0.519138971,0.249594038,81.61666667,34.66666667
5,0.482470197,0.504825979,0.508412867,0.824416825,0.902609383,1.317951453,1.496770708,1.533582773,2.038354073,2.483120268,2.886208288,3.112458274,3.155273278,3.281112467,3.322916804,3.465176599,4.645297602,4.735539047,4.75634713,4.917770465,5.046676775,5.896707986,5.90084914,6.142235145,6.790013277,6.925280065,7.172864512,7.517115029,7.717900307,8.023735334,8.453151451,8.560855947,9.526793083,10.17869483,10.2240848,10.23743676,10.59867949,10.65688773,10.76031078,10.76908144,3.048259818,0,0.112146636,-0.200195513,81.61666667,34.66666667
6,0.22078988,0.470438005,1.035039268,1.037585714,1.536831217,2.616046926,2.820704223,2.909777707,3.267354604,3.721657152,3.729590844,4.332733748,4.387167617,4.882533545,4.98092411,5.357242694,5.729775353,6.008752876,6.026333991,6.107372947,6.218547791,6.325082838,6.385867218,7.062311273,7.302719586,7.354712382,7.485584982,7.687317447,7.891397421,7.954004802,8.094041516,8.111815213,8.147632758,8.241674431,8.306499376,8.580544638,9.349366535,9.745999978,9.924483133,10.42720158,2.881087924,0,0.937537588,-0.247820222,81.61666667,34.66666667
7,1.702388098,2.032225087,2.645769107,2.653646624,2.765289569,3.000041325,3.573806459,3.751962382,3.752375196,3.762050168,4.020216957,4.718462801,4.811865598,4.921668567,5.082151648,5.388311493,5.461615996,6.348931168,6.396650514,6.517540322,6.606552988,7.30366906,8.082560189,8.253245083,8.694756017,9.214123514,9.911785055,10.14486925,10.47955807,10.51630251,10.78293304,11.0861629,11.09891183,11.40171697,12.63194559,12.94462746,13.14967162,13.23896985,13.4351697,13.62019898,3.940485248,0,0.110440494,-0.321877915,81.61666667,34.66666667
8,0.134833755,0.227820525,0.437507837,1.010131864,1.281677683,1.371217521,1.426567281,1.466313764,1.886189268,1.965519185,2.334805415,2.523154139,2.956805508,3.057800166,3.479983666,4.213268342,4.571252859,4.64887448,4.955364743,5.161085581,5.240010118,6.452288047,7.094508807,7.536637033,7.726217363,8.402510083,10.16912667,11.00232605,12.06603996,12.23108971,13.36572396,13.89760336,14.12947918,14.86209075,15.07133489,17.03840223,18.45612042,18.95863381,20.07360373,20.99444828,3.210919159,0,0.888703683,-2.396801667,81.61666667,34.66666667
9,0.566763508,0.939213711,1.013388812,1.75996596,2.19517299,3.019113944,3.060671929,3.229084351,3.831428847,3.929576701,4.274229444,4.515603213,4.58601258,4.641022575,5.49905158,5.656713402,5.910072536,6.135824154,6.347130892,6.653105736,6.880766183,7.119727485,7.337663833,7.706349686,8.21050619,8.967831058,9.073171056,10.27317586,11.1524504,11.31478836,11.3362771,11.55063236,11.93325965,12.03730685,12.1943654,12.33989308,12.41749694,12.5248895,13.06298155,13.26213292,1.969280094,0,0.924656024,0.087750077,81.61666667,34.66666667
10,0.496773449,0.777007883,1.27037452,1.457150147,1.992541304,2.269674454,2.55354843,2.922338045,3.620176266,3.768573411,3.839035039,3.942771197,4.00734014,4.326839756,4.652036238,4.976746634,5.79345371,6.520958763,6.792316846,7.458307523,7.460848867,7.976452094,8.424160326,9.602547757,9.673082954,9.794643665,10.01670438,10.15071011,10.4190429,11.95087189,13.10979384,15.55249758,15.5821745,16.53823972,16.93804066,17.45156887,17.57273406,18.62503553,19.1487947,19.54991139,3.775876553,0,0.281653134,-0.771184765,81.61666667,34.66666667
11,0.382829035,2.019615559,2.090410332,2.291619756,2.766957639,3.685594561,4.08072049,4.177757537,4.625222845,5.194383858,5.52142868,5.632352334,6.67338497,6.815378429,7.211272279,7.263915133,7.530044796,10.67194026,10.96062177,11.15682422,11.46966799,12.87988431,12.90507604,13.74180484,14.38725051,14.85688085,14.88171167,15.1472417,15.43596421,15.62893628,15.68172267,17.95265,18.78278816,20.73463948,21.995189,22.43755276,22.836919,23.14247775,23.1766486,23.348882,1.053948294,0,0.21176304,-1.118567972,81.61666667,34.66666667
